id,code_station,code_polluant,insee_com,valeur,date_mesure
2026-06-10 22:00:00FR23150_NO2_A,FR23150,3,49007,1.7,2026-06-10 22:00:00+00:00
2026-06-10 22:00:00FR23150_O3_A,FR23150,8,49007,67.0,2026-06-10 22:00:00+00:00
2026-06-10 22:00:00FR23152_NO2_A,FR23152,3,85191,2.1,2026-06-10 22:00:00+00:00
2026-06-10 22:00:00FR23152_O3_A,FR23152,8,85191,57.0,2026-06-10 22:00:00+00:00
2026-06-10 22:00:00FR23152_PM10_4,FR23152,24,85191,4.9,2026-06-10 22:00:00+00:00
2026-06-10 22:00:00FR23152_PM2.5_2,FR23152,39,85191,2.5,2026-06-10 22:00:00+00:00
2026-06-10 22:00:00FR23157_O3_A,FR23157,8,44018,57.0,2026-06-10 22:00:00+00:00
2026-06-10 22:00:00FR23163_O3_A,FR23163,8,72344,65.0,2026-06-10 22:00:00+00:00
2026-06-10 22:00:00FR23174_NO2_A,FR23174,3,72181,2.8,2026-06-10 22:00:00+00:00
2026-06-10 22:00:00FR23174_PM10_2,FR23174,24,72181,7.5,2026-06-10 22:00:00+00:00
2026-06-10 22:00:00FR23174_PM2.5_1,FR23174,39,72181,3.0,2026-06-10 22:00:00+00:00
2026-06-10 22:00:00FR23175_O3_A,FR23175,8,49035,64.0,2026-06-10 22:00:00+00:00
2026-06-10 22:00:00FR23177_NO2_1,FR23177,3,53210,2.1,2026-06-10 22:00:00+00:00
2026-06-10 22:00:00FR23177_O3_A,FR23177,8,53210,66.0,2026-06-10 22:00:00+00:00
2026-06-10 22:00:00FR23177_PM10_4,FR23177,24,53210,5.8,2026-06-10 22:00:00+00:00
2026-06-10 22:00:00FR23177_PM2.5_2,FR23177,39,53210,2.7,2026-06-10 22:00:00+00:00
2026-06-10 22:00:00FR23178_NO2_1,FR23178,3,44052,1.6,2026-06-10 22:00:00+00:00
2026-06-10 22:00:00FR23178_PM10_3,FR23178,24,44052,7.2,2026-06-10 22:00:00+00:00
2026-06-10 22:00:00FR23178_PM2.5_2,FR23178,39,44052,3.6,2026-06-10 22:00:00+00:00
2026-06-10 22:00:00FR23178_SO2_A,FR23178,1,44052,0.0,2026-06-10 22:00:00+00:00
2026-06-10 22:00:00FR23181_NO2_1,FR23181,3,44184,1.3,2026-06-10 22:00:00+00:00
2026-06-10 22:00:00FR23181_SO2_1,FR23181,1,44184,0.73,2026-06-10 22:00:00+00:00
2026-06-10 22:00:00FR23182_NO2_A,FR23182,3,72181,3.0,2026-06-10 22:00:00+00:00
2026-06-10 22:00:00FR23182_O3_A,FR23182,8,72181,71.0,2026-06-10 22:00:00+00:00
2026-06-10 22:00:00FR23182_PM10_3,FR23182,24,72181,5.9,2026-06-10 22:00:00+00:00
2026-06-10 22:00:00FR23182_PM2.5_2,FR23182,39,72181,2.9,2026-06-10 22:00:00+00:00
2026-06-10 22:00:00FR23188_NO2_A,FR23188,3,44109,2.8,2026-06-10 22:00:00+00:00
2026-06-10 22:00:00FR23188_O3_A,FR23188,8,44109,66.0,2026-06-10 22:00:00+00:00
2026-06-10 22:00:00FR23188_PM10_4,FR23188,24,44109,6.4,2026-06-10 22:00:00+00:00
2026-06-10 22:00:00FR23188_PM2.5_2,FR23188,39,44109,3.5,2026-06-10 22:00:00+00:00
2026-06-10 22:00:00FR23230_O3_A,FR23230,8,44132,68.0,2026-06-10 22:00:00+00:00
